Year,Player Name,Team Name,Matches,Runs,Innings,Strike Rate,Batting Average,Highest Score,Average,Centuries,Half Centuries,Ducks
2022,S Dhawan,Punjab Kings,14,14,2,460,88*,38.33,122.66,-,3,-
2022,MS Dhoni,Chennai Super Kings,14,13,6,232,50*,33.14,123.4,-,1,-
2022,S Dube,Chennai Super Kings,11,11,1,289,95*,28.9,156.21,-,2,1
2022,F du Plessis,Royal Challengers Bangalore,16,16,1,468,96,31.2,127.52,-,3,2
2022,NT Ellis,Punjab Kings,2,1,-,-,-,-,-,-,-,1
2022,Fazalhaq Farooqi,Sunrisers Hyderabad,3,1,1,2,2*,-,25,-,-,-
2022,LH Ferguson,Gujarat Titans,13,3,1,5,5,2.5,125,-,-,1
2022,AJ Finch,Kolkata Knight Riders,5,5,-,86,58,17.2,140.98,-,1,-
2022,RD Gaikwad,Chennai Super Kings,14,14,-,368,99,26.28,126.46,-,3,2
2022,PK Garg,Sunrisers Hyderabad,2,2,-,46,42,23,139.39,-,-,-
2022,S Gopal,Sunrisers Hyderabad,1,1,1,9,9*,-,128.57,-,-,-
2022,K Gowtham,Lucknow Super Giants,4,1,-,-,-,-,-,-,-,1
2022,Harpreet Brar,Punjab Kings,5,3,-,22,14,7.33,88,-,-,-
2022,Harshit Rana,Kolkata Knight Riders,2,2,1,2,2,2,100,-,-,-
2022,JR Hazlewood,Royal Challengers Bangalore,12,5,5,18,7*,-,69.23,-,-,-
2022,SO Hetmyer,Rajasthan Royals,15,15,8,314,59*,44.85,153.92,-,1,-
2022,JO Holder,Lucknow Super Giants,12,8,2,58,16,9.66,131.81,-,-,-
2022,DJ Hooda,Lucknow Super Giants,15,14,-,451,59,32.21,136.66,-,4,-
2022,B Indrajith,Kolkata Knight Riders,3,3,-,21,15,7,70,-,-,1
2022,Ishan Kishan,Mumbai Indians,14,14,1,418,81*,32.15,120.11,-,3,1
2022,SS Iyer,Kolkata Knight Riders,14,14,1,401,85,30.84,134.56,-,3,-
2022,VR Iyer,Kolkata Knight Riders,12,12,1,182,50*,16.54,107.69,-,1,1
2022,SP Jackson,Kolkata Knight Riders,5,5,1,23,8,5.75,88.46,-,-,1
2022,RA Jadeja,Chennai Super Kings,10,10,4,116,26*,19.33,118.36,-,-,2
2022,N Jagadeesan,Chennai Super Kings,2,2,1,40,39*,40,108.1,-,-,-
2022,YBK Jaiswal,Rajasthan Royals,10,10,-,258,68,25.8,132.98,-,2,-
2022,M Jansen,Sunrisers Hyderabad,8,3,2,9,8*,9,128.57,-,-,-
2022,CJ Jordan,Chennai Super Kings,4,2,1,11,6*,11,137.5,-,-,-
2022,AS Joseph,Gujarat Titans,9,3,2,5,4*,5,71.42,-,-,1
2022,KD Karthik,Royal Challengers Bangalore,16,16,10,330,66*,55,183.33,-,1,1
2022,K Kartikeya,Mumbai Indians,4,1,-,3,3,3,60,-,-,-
2022,Kartik Tyagi,Sunrisers Hyderabad,2,2,-,7,7,3.5,116.66,-,-,1
2022,S Kaul,Royal Challengers Bangalore,1,-,-,-,-,-,-,-,-,-
2022,SN Khan,Delhi Capitals,6,5,2,91,36*,30.33,135.82,-,-,-
2022,V Kohli,Royal Challengers Bangalore,16,16,1,341,73,22.73,115.98,-,2,3
2022,Kuldeep Yadav,Delhi Capitals,14,7,6,48,16*,48,92.3,-,-,-
2022,B Kumar,Sunrisers Hyderabad,14,6,3,24,8,8,92.3,-,-,-
2022,E Lewis,Lucknow Super Giants,6,5,2,73,55*,24.33,130.35,-,1,-
2022,LS Livingstone,Punjab Kings,14,14,2,437,70,36.41,182.08,-,4,-
2022,MK Lomror,Royal Challengers Bangalore,7,5,-,86,42,17.2,150.87,-,-,-
2022,OC McCoy,Rajasthan Royals,7,1,-,8,8,8,160,-,-,-
2022,Mandeep Singh,Delhi Capitals,3,3,-,18,18,6,78.26,-,-,2
2022,PN Mankad,Punjab Kings,1,1,1,4,4*,-,400,-,-,-
2022,A Manohar,Gujarat Titans,8,7,1,108,43,18,144,-,-,1
2022,M Markande,Mumbai Indians,2,-,-,-,-,-,-,-,-,-
2022,AK Markram,Sunrisers Hyderabad,14,12,4,381,68*,47.62,139.05,-,3,-
2022,MR Marsh,Delhi Capitals,8,8,-,251,89,31.37,132.8,-,2,1
2022,GJ Maxwell,Royal Challengers Bangalore,13,13,2,301,55,27.36,169.1,-,1,1
2022,RP Meredith,Mumbai Indians,8,1,1,-,0*,-,-,-,-,-
2022,DA Miller,Gujarat Titans,16,16,9,481,94*,68.71,142.72,-,2,-
2022,TS Mills,Mumbai Indians,5,2,1,-,0*,-,-,-,-,1
2022,AF Milne,Chennai Super Kings,1,-,-,-,-,-,-,-,-,-
2022,DJ Mitchell,Rajasthan Royals,2,2,-,33,17,16.5,75,-,-,-
2022,Mohammed Shami,Gujarat Titans,16,-,-,-,-,-,-,-,-,-
2022,Mohammed Siraj,Royal Challengers Bangalore,15,5,3,30,14*,15,90.9,-,-,-
2022,Mohsin Khan,Lucknow Super Giants,9,3,2,23,13*,23,143.75,-,-,-
2022,Mukesh Choudhary,Chennai Super Kings,13,2,1,6,4,6,100,-,-,-
2022,Mustafizur Rahman,Delhi Capitals,8,1,1,3,3*,-,60,-,-,-
2022,KL Nagarkoti,Delhi Capitals,1,-,-,-,-,-,-,-,-,-
2022,KK Nair,Rajasthan Royals,3,2,-,16,13,8,88.88,-,-,-
2022,DG Nalkande,Gujarat Titans,2,-,-,-,-,-,-,-,-,-
2022,SP Narine,Kolkata Knight Riders,14,10,2,71,22,8.87,177.5,-,-,3
2022,T Natarajan,Sunrisers Hyderabad,11,-,-,-,-,-,-,-,-,-
2022,JDS Neesham,Rajasthan Royals,2,2,-,31,17,15.5,114.81,-,-,-
