Year,Player Name,Team Name,Mat,Inns,Balls,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,5,10,Ct,St
2011,DJ Jacobs,Mumbai Indians,6,-,0,-,-,-,-,0.00,-,-,-,-,2,2
2011,RA Jadeja,Kochi Tuskers Kerala,14,14,252,-,305,8,2/25,38.12,7.26,31.5,-,-,1,-
2011,KM Jadhav,Kochi Tuskers Kerala,6,-,0,-,-,-,-,0.00,-,-,-,-,2,-
2011,IR Jaggi,Deccan Chargers,2,-,0,-,-,-,-,0.00,-,-,-,-,1,-
2011,SB Jakati,Chennai Super Kings,15,14,265,-,336,10,2/21,33.60,7.6,26.5,-,-,9,-
2011,DPMD Jayawardene,Kochi Tuskers Kerala,13,-,0,-,-,-,-,0.00,-,-,-,-,6,-
2011,AA Jhunjhunwala,Pune Warriors,3,2,12,-,22,-,-,0.00,11,-,-,-,4,-
2011,Joginder Sharma,Chennai Super Kings,1,1,18,-,34,-,-,0.00,11.33,-,-,-,-,-
2011,M Kaif,Royal Challengers Bangalore,8,-,0,-,-,-,-,0.00,-,-,-,-,5,-
2011,JH Kallis,Kolkata Knight Riders,15,9,144,-,170,7,2/16,24.28,7.08,20.5,-,-,9,-
2011,S Randiv,Chennai Super Kings,8,8,174,-,223,6,2/24,37.16,7.68,29,-,-,2,-
2011,Kamran Khan,Pune Warriors,1,1,18,-,47,-,-,0.00,15.66,-,-,-,-,-
2011,KD Karthik,Kings XI Punjab,14,-,0,-,-,-,-,0.00,-,-,-,-,7,-
2011,M Kartik,Pune Warriors,6,6,126,1,166,1,1/27,166.00,7.9,126,-,-,1,-
2011,AA Kazi,Royal Challengers Bangalore,1,1,12,-,21,-,-,0.00,10.5,-,-,-,-,-
2011,Z Khan,Royal Challengers Bangalore,15,15,354,1,455,14,3/32,32.50,7.71,25.2,-,-,4,-
2011,M Klinger,Kochi Tuskers Kerala,4,-,0,-,-,-,-,0.00,-,-,-,-,-,-
2011,V Kohli,Royal Challengers Bangalore,16,10,102,-,139,2,1/8,69.50,8.17,51,-,-,7,-
2011,KMDN Kulasekara,Chennai Super Kings,1,1,18,-,26,1,1/26,26.00,8.66,18,-,-,-,-
2011,DS Kulkarni,Mumbai Indians,6,6,120,-,149,5,3/26,29.80,7.45,24,-,-,1,-
2011,B Kumar,Pune Warriors,4,4,66,-,67,3,2/14,22.33,6.09,22,-,-,2,-
2011,P Kumar,Kings XI Punjab,13,13,276,5,345,10,2/19,34.50,7.5,27.6,-,-,2,-
2011,CK Langeveldt,Royal Challengers Bangalore,3,3,66,-,84,5,2/10,16.80,7.63,13.2,-,-,-,-
2011,VVS Laxman,Kochi Tuskers Kerala,3,-,0,-,-,-,-,0.00,-,-,-,-,-,-
2011,B Lee,Kolkata Knight Riders,12,12,272,1,338,5,1/12,67.60,7.45,54.4,-,-,2,-
2011,MJ Lumb,Deccan Chargers,1,-,0,-,-,-,-,0.00,-,-,-,-,1,-
2011,BB McCullum,Kochi Tuskers Kerala,13,-,0,-,-,-,-,0.00,-,-,-,-,2,-
2011,NL McCullum,Pune Warriors,2,2,30,-,34,-,-,0.00,6.8,-,-,-,1,-
2011,AB McDonald,Delhi Daredevils,1,1,12,-,23,-,-,0.00,11.5,-,-,-,-,-
2011,R McLaren,Kings XI Punjab,6,6,108,-,178,5,2/33,35.60,9.88,21.6,-,-,2,-
2011,I Malhotra,Deccan Chargers,1,1,6,-,23,-,-,0.00,23,-,-,-,-,-
2011,VS Malik,Kings XI Punjab,1,1,12,-,13,-,-,0.00,6.5,-,-,-,-,-
2011,SL Malinga,Mumbai Indians,16,16,378,2,375,28,5/13,13.39,5.95,13.5,1,-,4,-
